Wall time,Step,Value
1650484771.7423673,1069,0.44999998807907104
1650484789.1830807,1564,0.5
1650484806.8325508,2059,0.44999998807907104
1650484825.2783055,2591,1.0
1650484842.2143738,3086,1.0
1650484858.7969885,3557,1.0
1650484876.5706637,4052,0.6499999761581421
1650484893.3261774,4547,1.0
1650484910.327993,5041,1.0
1650484929.6998954,5555,0.0
1650484947.907292,6042,0.0
1650484965.7775042,6566,1.0
1650484984.1450615,7060,0.0
1650485001.3745804,7555,1.0
1650485020.5850203,8093,1.0
1650485038.1988237,8584,1.0
1650485055.5280252,9092,1.0
1650485070.561075,9529,1.0
1650485089.144838,10075,1.0
1650485105.7889278,10557,1.0
1650485122.5402617,11031,1.0
1650485139.0982683,11514,1.0
1650485156.5293381,12007,1.0
1650485175.5580735,12571,1.0
1650485193.097758,13079,1.0
1650485209.5884006,13538,1.0
1650485227.7650483,14070,1.0
1650485244.5727496,14565,1.0
1650485261.1082482,15018,1.0
1650485277.7385807,15505,1.0
1650485295.4405255,16033,1.0
1650485314.1199517,16582,1.0
1650485329.5724823,17045,1.0
1650485345.429671,17510,1.0
1650485365.3009927,18083,1.0
1650485381.5136294,18567,1.0
1650485396.4696248,19009,1.0
1650485414.7847395,19553,1.0
1650485431.5613005,20048,1.0
1650485447.508442,20513,1.0
1650485464.617343,21010,1.0
1650485482.8563163,21547,1.0
1650485499.6165848,22041,1.0
1650485516.4652362,22529,1.0
1650485532.963879,23011,1.0
1650485550.3660295,23519,1.0
1650485567.0940523,24015,1.0
1650485584.1041725,24513,1.0
1650485601.2724276,25009,1.0
1650485618.9401612,25529,1.0
1650485636.5225441,26038,1.0
1650485652.5716019,26502,1.0
1650485670.0928752,27007,1.0
1650485687.2634757,27514,1.0
1650485704.8630774,28034,1.0
1650485722.2729692,28541,1.0
1650485738.3449504,29005,1.0
1650485756.039516,29527,1.0
1650485773.028667,30006,1.0
1650485791.2200942,30541,1.0
1650485807.224587,31005,1.0
1650485824.422206,31501,1.0
1650485842.0773804,32021,1.0
1650485858.9295228,32511,1.0
1650485875.7242072,33003,1.0
1650485892.8902261,33510,1.0
1650485909.8589947,34002,1.0
1650485927.2743733,34507,1.0
1650485944.5308108,35014,1.0
1650485961.2154748,35506,1.0
1650485978.6479912,36013,1.0
1650485995.483188,36507,1.0
1650486013.108907,37027,1.0
1650486029.6259356,37510,1.0
1650486046.4528477,38002,1.0
1650486063.9220457,38509,1.0
1650486081.9031765,39031,1.0
1650486099.2772286,39538,1.0
1650486115.7250695,40019,1.0
1650486132.816048,40509,1.0
1650486149.8345845,41007,1.0
1650486166.6625543,41501,1.0
1650486184.2968025,42012,1.0
1650486202.133404,42532,1.0
1650486219.366324,43039,1.0
1650486235.477113,43505,1.0
1650486253.1631453,44012,1.0
1650486270.1586442,44506,1.0
1650486287.84334,45013,1.0
1650486305.7624726,45511,1.0
1650486323.2826834,46017,1.0
1650486341.1233664,46534,1.0
1650486357.6693296,47014,1.0
1650486374.7069743,47504,1.0
1650486393.369471,48039,1.0
1650486409.5466385,48501,1.0
1650486427.0644765,49010,1.0
1650486444.602793,49515,1.0
1650486461.9789298,50022,1.0
1650486478.8727996,50514,1.0
