Wall time,Step,Value
1650341514.308338,10000,1.0
1650341521.3123345,20000,0.46666666865348816
1650341527.0645795,30000,0.7857142686843872
1650341531.4527793,40000,0.8888888955116272
1650341536.9020853,50000,0.9677419066429138
1650341540.9171276,60000,1.0
1650341545.9171648,70000,1.0
1650341550.460361,80000,1.0
1650341555.2635708,90000,1.0
1650341560.144091,100000,1.0
1650341566.2048979,110000,1.0
1650341570.3938718,120000,1.0
1650341578.6966457,130000,1.0
1650341587.1322522,140000,1.0
1650341592.7407393,150000,1.0
1650341600.186622,160000,1.0
1650341604.114124,170000,1.0
1650341608.2008705,180000,1.0
1650341612.8710976,190000,1.0
1650341617.0340025,200000,1.0
1650341620.9930468,210000,1.0
1650341625.0410144,220000,1.0
1650341628.5162354,230000,1.0
1650341634.0409465,240000,1.0
1650341640.7045803,250000,1.0
1650341646.023936,260000,1.0
1650341652.2608085,270000,1.0
1650341658.3835614,280000,1.0
1650341663.9166362,290000,1.0
1650341669.029366,300000,1.0
