Wall time,Step,Value
1650368125.0443325,1041,1.0
1650368148.3631353,1543,1.0
1650368170.12965,2016,1.0
1650368193.6836205,2524,1.0
1650368215.8656454,3013,1.0
1650368238.970533,3520,1.0
1650368262.937948,4048,1.0
1650368282.7059937,4512,1.0
1650368304.2199776,5025,1.0
1650368329.765348,5574,1.0
1650368347.84164,6000,1.0
1650368373.3192458,6531,1.0
1650368396.2476573,7021,1.0
1650368422.2730381,7573,1.0
1650368446.0589018,8085,1.0
1650368468.7636113,8559,1.0
1650368491.7631652,9048,1.0
1650368514.816339,9547,1.0
1650368537.2458944,10027,1.0
1650368561.4906995,10551,1.0
1650368582.4635558,11018,1.0
1650368604.9811597,11513,1.0
1650368628.2528887,12011,1.0
1650368653.1724885,12557,1.0
1650368675.666572,13043,1.0
1650368697.7758741,13519,1.0
1650368719.745063,14001,1.0
1650368744.1890428,14537,1.0
1650368767.1183608,15037,1.0
1650368789.6805367,15529,1.0
1650368812.8495982,16037,1.0
1650368835.6530018,16538,1.0
1650368857.554325,17011,1.0
1650368881.7848501,17535,1.0
1650368903.0697548,18001,1.0
1650368927.337043,18529,1.0
1650368949.6326082,19013,1.0
1650368972.8683965,19517,1.0
1650368995.619531,20013,1.0
1650369018.8494885,20514,1.0
1650369041.529223,21007,1.0
1650369065.327362,21524,1.0
1650369087.4716606,22002,1.0
1650369110.9868681,22511,1.0
1650369135.322801,23036,1.0
1650369158.2833605,23538,1.0
1650369181.265057,24033,1.0
1650369203.4037473,24511,1.0
1650369226.2251947,25006,1.0
1650369250.2674534,25537,1.0
1650369273.3681273,26023,1.0
1650369295.8902316,26515,1.0
1650369319.1276085,27005,1.0
1650369341.9368613,27513,1.0
1650369365.0555956,28011,1.0
1650369388.9493418,28526,1.0
1650369411.4075644,29025,1.0
1650369434.4419703,29516,1.0
1650369456.6231253,30007,1.0
1650369479.7979352,30500,1.0
1650369504.1338856,31031,1.0
1650369526.5582151,31513,1.0
1650369550.1331468,32019,1.0
1650369572.567757,32510,1.0
1650369595.705679,33009,1.0
1650369619.3539546,33512,1.0
1650369642.511695,34013,1.0
1650369664.7911706,34500,1.0
1650369688.515244,35010,1.0
1650369712.2638397,35521,1.0
1650369736.1583068,36034,1.0
1650369758.843808,36522,1.0
1650369782.3187659,37025,1.0
1650369805.8293445,37541,1.0
1650369827.161767,38005,1.0
1650369851.1091137,38520,1.0
1650369875.1342378,39046,1.0
1650369896.2635493,39504,1.0
1650369920.6379905,40035,1.0
1650369943.4246464,40527,1.0
1650369965.3778715,41003,1.0
1650369988.784717,41515,1.0
1650370012.8634589,42034,1.0
1650370035.0091348,42500,1.0
1650370059.1225183,43028,1.0
1650370082.012059,43506,1.0
1650370105.8186839,44025,1.0
1650370127.9727511,44510,1.0
1650370152.012562,45024,1.0
1650370175.155567,45525,1.0
1650370197.9171267,46013,1.0
1650370221.695631,46525,1.0
1650370243.7427077,47002,1.0
1650370267.598623,47519,1.0
1650370290.4700067,48015,1.0
1650370313.8266842,48511,1.0
1650370338.2018278,49043,1.0
1650370360.2828462,49515,1.0
1650370383.3397377,50016,1.0
1650370406.0310597,50508,1.0
